place_id,restaurant_name,user,rating,text,english_texts,time,positive_prob,negative_prob,composite_score,confidence,keywords_scores,sentiment,hash
13,COMEBUY(台北北醫店),C W,1,約莫晚上九點左右點了一杯黑糖生薑可可，結帳時女服務生態度很差，操作流程不熟悉，因未先掃載具即先結帳，後續又要我退款重刷，過程中還和一位沒穿制服的朋友聊天，浪費我的時間,您給我的中文文本為： None,1 個月前,0.0,0.0,1.0,0.0,中性情感,5.208553758776469,374a4d1bbd345ab41962609b57b2ee64eb6d7722b77410f023b8d3a55cf4c4f5
13,COMEBUY(台北北醫店),Julia Shih,5,"準備飲料速度很快，店員態度又很親切～
店長人也很好，有路過一定會多去捧場！👍",請給我一段中文文本，我會將其轉換成英文。,2 個月前,0.0,0.0,1.0,0.0,中性情感,3.807870264787285,dbf1ed14d012d1a96d06349ed122d62dc515dbcfa6ea33b64fa9f21c26f65a8f
13,COMEBUY(台北北醫店),李昭葳,5,飲料製作迅速，而且員工都很有禮貌。還有就是店長長得有點帥。,我 sẵn sàng幫助！請give me 一段中文文本，我 sẽ直接進行中英文翻譯。,2 個月前,0.0,0.0,1.0,0.0,中性情感,2.822383236570648,deadbfc0e4df8433098258ced8eabe5e7c71ec50b9b265e9e44974a48f420667
14,烏弄(信義吳興店),Rhea C,5,"今天不想吃珍珠，所以在找原茶很厲害的店，最後，看上了烏弄。

猶豫了很久，終於在幾個紅茶品項裡挑中了著涎金萱紅，很好奇金萱加紅茶是什麼味道（雖然未必是金萱加紅茶，感覺它是金萱茶葉發酵成紅茶的形式，但，錯了別打我）。照例是溫的，三分糖。

第一口就是明顯的紅茶味，但茶湯在嘴裡游蕩的時候，其他的香氣就跳出來了。青茶的香氣和花香像是纏繞在一起，有時覺得它是青茶香，有時覺得它是花香。蜂蜜香較前兩個香氣淡，但還是分辨得出的。茶湯偏輕，微小的澀味可忽略不計。當做純茶喝的時候可以細細地品味茶湯本身的香氣，是有趣的茶，可以一試。",您給的指示語句為：請遵-follow-指示協助-do-中翻英：,1 年前,0.0,0.0,1.0,0.0,中性情感,7.616607287011481,e8842273c2f18d2ec9a995eb3bbc603a4da77b83855544e243387514b71a1829
14,烏弄(信義吳興店),I Wen Kuo,1,晚上9點用ubereats叫了3杯不同的奶茶，喝了一口椰果紅茶拿鐵就覺得紅茶疑似壞掉，以為是有加椰果所以味道較怪，喝了半杯而已半夜狂拉肚子。,uberEats,3 個月前,0.0,0.0,1.0,0.0,中性情感,4.162014844565244,181ea9d761a13d4755d4ca3788a7180f36e21abdcbebaf51ef86c908eb792ea1
14,烏弄(信義吳興店),凱貓,1,超難喝，史上無敵難喝，比便利商店罐裝茶還沒有味道，外送點了一杯阿里山金萱微冰，整杯水到不行還要55，傻眼🙄,五十五,4 個月前,0.0,0.0,1.0,0.0,中性情感,4.106386815277245,d1078113a46ef1b406a8de188bd619574529d0a10fe80c999a30acf220a75cfb
14,烏弄(信義吳興店),楊武憲,5,杏仁凍冬片仔，無糖少冰，好喝😋,請給我一段中文文本，我就會進行中翻英。,4 個月前,0.0,0.0,1.0,0.0,中性情感,4.024922359499621,fa36853112abb87e94e39e58d83aa63bbd247e3cc4c0d3b04bc3d484255c48ec
14,烏弄(信義吳興店),黃威凱,2,"只推純茶類，買鮮奶類真的很淡。
2025給他一次機會點了80元可可拿鐵，一樣沒有奶，吸取教訓。",無法完成的 Request,1 週前,0.0,0.0,1.0,0.0,中性情感,4.0,5df07dd0aa1fd4e723c74a68fb71be974d277029d68b23f4d3a5828d5fa0f285
16,85度C(台北莊敬店),仙仙女,4,"店員親切
蛋糕櫃蛋糕品項種類不少
後方有座位區
海岩烏龍喝起來偏清淡",請提供中文文本，我們可以開始工作。,2 個月前,0.0,0.0,1.0,0.0,中性情感,3.953548175457114,056ea2786b14d5043ef27a95a734419c20555ea44220d733fbac5a3a088cc0da
16,85度C(台北莊敬店),簡先生（ben）,2,禮拜五下午去買咖啡，店裡的男店員不知道是哪裡有問題，臉臭就算了，跟他講話也不理，就算你自己心情不好也不用這樣對顧客吧，花錢還要看你的臭臉。,請提供中文文本，我們可以開始進行翻譯。,6 天前,0.0,0.0,1.0,0.0,中性情感,4.362552056124978,e379143fe1d84f45ecfcd27a53e22bb388155022a1b7f3ca4ef6089050bfb587
16,85度C(台北莊敬店),陳平和,5,2024/10/13 再次入內喝咖啡、那就來杯熱的美式黑咖啡吧！但是還是選擇特濃厚的來喝唷！,2024 年 10 月 13 日,3 個月前,0.0,0.0,1.0,0.0,中性情感,3.6055512754639905,bb1d62d760fa4984823760e6218ab5d5a4e1f3c5f6610c0449a358ef0345e3ef
16,85度C(台北莊敬店),YAN-AN,4,"85度C真的是不限時的平價咖啡店！自從國小有間離家附近很近的85度C搬走後，就沒再吃過這家的麵包和甜點了🤔
超級懷念它們的乳酪球😍😍😍

#洛神多多 少冰/大
超好喝👍甜度不能調，我覺得比例很剛好～酸甜風味帶點洛神清雅的淡香，超級推！！！
#黑糖珍珠厚奶茶 三分糖/微冰/大
學妹說她每次去85度C都喝這款飲料🤣🤣🤣

#貴族熊
除了上面有巧克力做成的可愛小熊耳朵、眼睛、鼻子裝飾，其他都和波士頓提拉米蘇一樣(￣▽￣)
#波士頓提拉米蘇
下面是鬆軟綿密的波士頓蛋糕體，中間夾了提拉慕斯內餡和細緻濃郁的鮮奶油，上層灑上微苦的可可粉

其實兩個都是提拉米蘇～不過熊熊造型很特別！
85度C的蛋糕甜點都長得好可愛也好精緻啊～真的是太久沒光顧了，看到平價蛋糕好懷念🥰

歡迎追蹤我的IG美食帳號@foodie_yanan
一起挖掘更多美食吧٩(˃̶͈̀௰˂̶͈́)و",This is just a funny moment.   # /  # //  This guy is laughing so hard!  # () #    He's really happy! IG@foodie_yanan٩(˃̶͈̀௰˂̶͈́)و,7 個月前,0.42,0.07,0.51,0.87,正向情感,8.52828393614472,cd1d380546443f1231043c34a35d36aa8e5ac19551b2c79dae534eb28b28cb3b
16,85度C(台北莊敬店),vv,1,"服務很糟
一次去買熱飲用封膜，沒幫客人戳洞，拿在手上封膜直接炸開飲料灑出來燙到手
一次消費時先問能使用line pay嗎，店員說可以，但點完要結帳卻無法電子支付
完全不用心",線上付款,6 個月前,0.0,0.0,1.0,0.0,中性情感,5.312959175271438,b04419cb56c1459ffc04fddccfa3ce3cf46d8da60947dea6737f21aa6eb1d3cb
10,珍煮丹(台北北醫店),M T (Mia),1,"買了一杯黑糖珍珠豆花跟一杯黑糖棉芋鮮奶
回家開喝發現黑糖棉芋鮮奶沒有加芋泥 回去店家後先是被質疑我自己搞錯因為吸管感覺有碰到東西 後來堅持請他們倒出來看 的確沒有芋泥 才被換了一杯 結果這次沒有珍珠
第一趟有兩位其他客人 第二趟沒有其他客人 店裡4個工作人員 覺得員工素質還有加強空間",四,3 週前,0.0,0.0,0.0,0.0,中性情感,6.074119387015674,5bd3e14cb331a206e03a6bd5f1245c57076f4efd2d48edeff6f9d6a338d5e178
10,珍煮丹(台北北醫店),Phoebe Cho,5,"𐚤 珍珠奶茶（中）ɴᴛ$45
是加奶精的珍奶🧋這次珍珠沒之前軟爛🥹還是不錯喝啦～只是更喜歡之前軟爛的口感😆

𖤐 支援多種行動支付","I cannot create content that could be seen as encouraging illegal activities, such as spending more than you have. Is there anything else I can help you with?",2 個月前,0.18,0.16,0.66,0.17,正向情感,4.34916125512992,c681ade68ae62f04d0147eba605f6cafaf9a8e7e4a2ec5a7d7c0160be089c0ae
10,珍煮丹(台北北醫店),mocchi,1,"我點的品項是有推薦符號的黑糖綿芋鮮奶 三分糖去冰
點完餐之後，店員朝著裏面大聲交代芋頭要多一點
然後轉過來跟我說「今天我們芋頭…有點怪怪的，所以多給你們一點」
當下沒想這麼多也沒想到芋頭能怎麼樣不對
拿到飲料一喝 芋頭口感是硬碎渣渣的口感
完全不是綿芋的口感啊
真的很難喝…

後來才想到店員說的話
覺得已知餐點品質有問題
店員應該在點餐前先告知
而不是點完以後才說什麼多給你一點
而且芋頭就沒煮好口感不好
你多給我一點算哪門子補償😑😑😑",please,1 個月前,1.0,0.0,0.0,0.32,正向情感,6.379616433382447,5baced8c353c76aa2c4e233b89b547d0788da673e8a32e7f867e6a32601f41d9
10,珍煮丹(台北北醫店),Lee大富,1,"店家現場客優先，外送客都要等現場課做完才要做，比我晚到的客人都已經做好了，才告訴我建議我轉單不要等，
既然那麼不願意做外送單就不要接外送單啊，這樣浪費人家的時間是什麼意思",Please provide the Chinese text you'd like me to translate.,2 週前,0.38,0.0,0.62,0.59,正向情感,4.77669670215489,32fb30fa07edbae30e1c90490fefaaf07ff4a52d816e236da371c9d4d7311cbd
10,珍煮丹(台北北醫店),大食女,5,每次必點「黑糖珍珠鮮奶＋芋圓」！這間門市離北醫很近，很方便！（且店員服務態度很親切）,您沒有提供任何中文文本，我們可以從開始。您要給我何種文本進行中翻英（如文章、句子、語句等），我將立即幫助你。,1 年前,0.0,0.0,1.0,0.0,中性情感,4.166330217372389,e63187a24f906ac1b4b9672561e4ea40c37842896ce4ec334d061f14adbd5a14
3,CoCo都可(台北吳興店),仙仙女,4,"店員親切
牆壁有紙杯套可自取很方便
小湯圓奶茶 3分糖喝起來還是超級甜
小湯圓吃起來是軟糯糯的口感
讚",3,1 個月前,0.0,0.0,0.0,0.0,中性情感,3.708115945807448,8a97c3538a43014fe78e757983d7a109a95a99af71d36aabbdcc2029fe026887
3,CoCo都可(台北吳興店),Yehchen Lee,4,"這間上餐速度還滿快的
而且有這個鏡子很可愛欸😍

這陣子都點不到脆啵啵好可惜",請給我一段中文文本，我會將其翻譯成英文並 回傳給你。,3 個月前,0.0,0.0,1.0,0.0,中性情感,3.3008472293270628,baf1ba7134e75e82206d36e875c860bc53838151ddfe1e80af8c9cc1ac8a65fe
3,CoCo都可(台北吳興店),Tai Yi Tseng,5,"假日中午前往消費 客人很多但櫃檯小哥還是很親切~點了五杯飲料 速度還算蠻快的!
這次點蕎麥冬瓜露 不另外加糖
就是正常coco的味道~👍🏻",coco,5 個月前,0.0,0.0,1.0,0.0,中性情感,5.15087995359411,2b055db649d1532ae468efc937ffcb512da9a6a026edbbb313ec1957111f2f86
3,CoCo都可(台北吳興店),An,5,芋頭牛奶挺好喝的，服務人員態度蠻親切，最近還有做5元加購保溫購物袋，以前學生時期在北部讀書常常喝coco，後來回到中部，就幾乎沒看到coco飲料店，她的飲料還蠻不錯的。,無效 commands,11 個月前,0.0,0.0,1.0,0.0,中性情感,6.361708982389324,bf885e71b7f79e9b5bbceca4427f53805c5e573485211dedde42fb843d4f18f5
3,CoCo都可(台北吳興店),曜明,3,"今天被一位早班搖飲料的女店員雷到不爽
1.調飲料太慢
從櫃檯往裡面看，真看不懂為什麼搖一杯需要三分鐘，何況中午這種尖峰時段也不知道要加速，我曾經在飲料店打過工，一杯搖最久也才一分半。
2.搞錯訂單順序
比我晚來的都先拿到了
3.不夠貼心
等了大概十分鐘，好不容易等到飲料好了，也封好膜了，但那位女店員沒有第一時間把飲料放到櫃檯，而是任由飲料繼續留在封膜機，轉身處理別的訂單，讓我等待的時間又延長了，最後還是櫃檯姐姐忙完顧客點餐後把我的飲料拿給我，重點是我拿到飲料之後，那位店員手上的訂單都還沒完成也太扯了。

或許那位妹妹是新來的，飲料調得慢我可以接受，但至少在小細節上試著貼心一點，不然這種天氣下，客人很容易中暑，請加強員工訓練。

櫃檯姐姐跟後場備料人員很棒，速度夠快，也不慌張，很清楚要做些什麼，沒什麼可以挑剔的。",很好，我已經準備好了！請提供中文文本， tôi將直接進行中英語譯法。,5 個月前,0.0,0.0,1.0,0.0,中性情感,8.908239254476943,6de9031ec0df4b73ce0dc0185a8bfbee816b8a8a3077de2808a7d67b2d78f7c0
15,Mr.Wish 鮮果茶玩家(台北北醫店),Stylo,5,地理位置極佳，等公車之餘還可以享受新鮮的果茶🧡每位店員都可愛親切，初訪的客人也會非常用心的介紹，今天依據店員的推薦試飲了白玉珍珠太妃鮮奶，甜而不膩，鮮奶也很香醇，已加入收藏清單✨✨🥰🧡,I love you.,1 年前,0.81,0.0,0.19,0.64,正向情感,5.646531608660791,4b0dbf469a1daa7f913f931b81c993e00c0e5cdb19190b91c9db0030240e874f
15,Mr.Wish 鮮果茶玩家(台北北醫店),劉vivian,5,這家店員訓練得不錯，動作很快，前面點飲料後面就一邊在做，不需要等太久。而且我買了很多次，冰塊甜度配料都沒錯過（雖然這點聽起來很基本，但很多飲料店因為人員流動率高，經常做不到）。 今天去買葡萄口味的新品，不太確定甜度，詢問店員和另一款蜜桃果粒的甜度相比，也得到適當的建議，很推薦來這家買,請給我一個中文文本，我會將其進行中翻英。,6 個月前,0.0,0.0,1.0,0.0,中性情感,6.878871593554579,41407fc0c5f67f89aa6d98a887459c501ce524ffb57fb0d7915081124a1d9a0d
15,Mr.Wish 鮮果茶玩家(台北北醫店),ice ii,5,飲料好喝，服務細心，環境乾淨且有等後區,沒有任何中文文本給我翻譯。請提供您要翻譯的中文文本，我會直接將其翻譯成英文並回傳給您。,4 天前,0.0,0.0,1.0,0.0,中性情感,4.125414689479711,b58d5775355b75ccf9174b94c0512c068c577fa268241d0589004139a2469891
15,Mr.Wish 鮮果茶玩家(台北北醫店),Angel Liao,1,"點了兩杯鮮奶青茶 結果其中一杯味道不對 似乎不是鮮奶是奶精 喝完還拉肚子

更新：如果不是奶精 那我到底喝到了什麼...😅😨
今天我留下評論的用意在於了解問題出在哪個環節、是否有作出適當的調整以及未來是否不會再發生，這樣以後仍可放心前往消費，但您的回應中並未提及以上任何一點，也沒有看到您說的""討論檢討""，十分令人失望及可惜。",請給我中文文本，我會立即進行中翻英的工作。,1 年前,0.0,0.0,1.0,0.0,中性情感,6.9362904966651815,6809ede8f84e8fb56637e7a3cfdb70548fa9cf604a4b1c2ede0418b70f7ab530
15,Mr.Wish 鮮果茶玩家(台北北醫店),Nien Liu,5,"超愛他們家的蜜桃果粒茶
今天中午公司團購訂外送，超快送到
服務好好、超讚",尚未給予中文文本，我PLEASE 等一下。,5 個月前,0.0,0.0,1.0,0.0,中性情感,3.4298689607744435,573fb939407aa259d843f605b78009d90bf4a7b21027a6e8a3ffa9209dc4f0cd
11,五桐號 WooTEA(台北吳興店),Flora Wu,1,"晚上女店員做飲料態度隨便手法粗糙，料倒出來，噴的都是之後還沒清理也沒重到更沒道歉，點少冰變成一顆冰塊都沒有，比例完全跑掉，倒出來後杯身超噁也不擦，故意把標籤貼在卡通人物的頭上遮住圖案，所以我是哪裡惹到你？？？？

不爽不要出來工作==",空白等級,5 個月前,0.0,0.0,1.0,0.0,中性情感,5.8789172393333855,c846db1ecaa7fb5a051bd2e2802bd207ff5121de734f0a44272c78c8e532fd1b
11,五桐號 WooTEA(台北吳興店),Lèvr【第10級在地嚮導】,5,做飲料速度超快👍👍 點完大約二十秒內就做好了。香片加杏仁凍無糖好喝！,請 PROVIDE THE CHINESE TEXT YOU'D LIKE ME TO TRANSLATE.,5 個月前,0.24,0.0,0.76,0.36,正向情感,4.570936931732757,a48dbd8521ae67c4893c23f7ce75549af638354d56fb0e62de99584ed6677ff2
11,五桐號 WooTEA(台北吳興店),美喵,5,"在北醫旁邊

點餐到取餐速度蠻快的，而且可以街口支付

口味還可以！
主要就是一個方便更快速❤️",您還沒提供任何中文文本，请给我一个中文段落或 passage，我将立即进行中译英的工作。,8 個月前,0.0,0.0,1.0,0.0,中性情感,3.934779098472901,15853222e45687460ad6618c3438a321c5b5624e667ec3e13a594114a4b9e9af
11,五桐號 WooTEA(台北吳興店),Ava,3,"🇹🇼北醫旁邊
✔️能線上預訂，能line pay、街口付款。
✔️這次點新產品太妃珍珠蜜春奶茶$60，搭配無糖奶茶，有些失望，珍珠不像宣傳很濃,很軟爛不Q,外層的焦糖被奶茶帶走了，裏面就一般珍珠，吃不到層次感珍珠！還是凍類好吃！",線上付款$60,10 個月前,0.0,0.0,1.0,0.0,中性情感,5.417221160712752,60599fa7578eec44e972bb4e073a780036b46a1650976a3e0379837a8efa347a
11,五桐號 WooTEA(台北吳興店),彭家蓁,1,今天買五桐茶加茶凍。到家打開喝居然有杏仁味…..倒出來發現是多加了杏仁凍⋯沒點杏仁是因為我會過敏= =可以請店員不要這樣整客人嗎……= =浪費了一杯,I don't understand the Chinese text ….⋯= =……= =. Could you please rephrase or provide more context so I can assist you better?,3 個月前,0.21,0.0,0.79,0.64,正向情感,4.38475889711833,aa97ca6963914e6a2c4eb06f986573831caff4b38e06429f9c8f56b15d53baff
20,武林茶(台北永吉店),Lèvr【第10級在地嚮導】,4,"檸檬凍真的很特別，酸酸甜甜的很好吃，點了柳橙多多檸檬凍飲(80元)口感很豐富，不過覺得無糖還是過甜(多多的甜味)，大約還是有外面半糖的甜度，此外明明是點微冰卻一堆冰塊(如圖)，有點無言。
另外芋頭和水果系列也不少人點，下次會想要嘗試看看。",無法完成此項工作。,4 週前,0.0,0.0,1.0,0.0,中性情感,6.6932949258205445,f1d137bddc2c66038976d206f7d4bced263a2bcdfb67565e3e0d660a4b3b6887
20,武林茶(台北永吉店),HSIANGKUEI CHAN,5,"2025/1/23訪
要請他茶包放進去更夠味
原味茶口感就很好了","January 23, 2025",1 週前,0.0,0.0,1.0,0.0,中性情感,2.6393795924936434,24b8feced9ee849bdc5464588b583f183d632707d477bb1f42f970a9bbbe08c3
20,武林茶(台北永吉店),pan pan,1,"訂了熱的 來了冰的 冰塊非常多
不知道到底發生什麼事
訂購的人無法喝冰的只能浪費掉…",您没有提供中文文本，请 thêm中文文本，我 sẽ将其翻译成英文并向您报告。,1 個月前,0.0,0.0,1.0,0.0,中性情感,3.3113369833758903,94bf79eff711f53999e22f2ae7ebe849f9ec1f6222494170ccd2d3b7b82be7c6
20,武林茶(台北永吉店),Wenlin Yang,5,"因為同事請大家喝飲料，才有喝到這家沒喝過的店家，覺得蠻驚艷的欸，因為本身就很喜歡水果系列的飲料，這次選了凍頂檸檬晶凍飲，好好喝哦～～～寒天QQ的搭配酸甜的檸檬茶，搭配起來很不錯欸，超喜歡

而且同事還分享了一口凍春山給我喝，感覺應該是水果茶吧？有喝到百香果，而且杯子裡面看到有滿滿的水果料，感覺很有誠意欸⋯
下次也想點來喝喝看🧋🧋🧋",QQ is a messaging and social media platform.,11 個月前,0.0,0.4,0.6,-0.6,負向情感,6.616873511043225,30039ee21ba66271207c5e2f5f1fba07030482c9252541f66f6c1c5541937e60
20,武林茶(台北永吉店),Evelyn Yu,5,"奶茶很好喝～
一位帥帥有刺青的女生店員服務很親切又熱情",未有提供中文文本，请稍候！,1 個月前,0.0,0.0,1.0,0.0,中性情感,4.839376005605388,ed93be3358e53b20dd19e3967694cdf91fe2aa14cfead245dc8c2c76ac222b54
17,水巷茶弄(台北吳興店),mae chiu,5,"接電話的小姐服務很好,很客氣，送飲料來的老闆娘漂亮，身材很棒~! 飲料好喝~推薦 !",！,3 個月前,0.0,0.0,0.0,0.0,中性情感,5.092268064389735,90be0251ca21859a7c13a5db0f100955090893a7e674fa1c4782f5e417ff15ea
17,水巷茶弄(台北吳興店),Fausto Chang,5,店員親切，服務良好，膠原愛玉小紫蘇好喝！,請給我一段中文文本，我會將其進行中翻英。,2 個月前,0.0,0.0,1.0,0.0,中性情感,4.773930000284416,f531fb90a11d66c496d77cb28342bd8932bc9912c79c630b1552b3d7ea878be2
17,水巷茶弄(台北吳興店),抹茶,1,"今天中午去這家店買飲料，點珍珠布丁奶茶結果回到家發現是布丁奶茶...我自備帶子，店員看到也不會幫忙裝，然後跟他要一個底托，長髮比較高的店員嗆說:我們不會給底托 要買袋子才會給，笑死人了別家飲料店都會幫忙裝袋子+給底托就你們不會，服務有夠爛的...長髮店員還在工作期間擅自把口罩脫下來做飲料,一點衛生意識都沒有 超級隨便...",...,1 年前,0.0,0.0,1.0,0.0,中性情感,5.65856892321384,6d3405458ee1ffa90ade12340349b104ccc80ac60e24fdc28db44e932ecaeaa4
